Field1,Field2,Cross_Correlation,Lag
Accelerator PPS Trigger rate_P1,DAQ Status Block rate_P1,0.992673945161339,2
Accelerator PPS Trigger rate_P1,Data Driven Contained Vertex avg decision_P1,0.8760079671935576,6
Accelerator PPS Trigger rate_P1,Data Driven Contained Vertex avg delay_P1,0.8778357255208749,9
Accelerator PPS Trigger rate_P1,Data Driven Contained Vertex avg length_P1,0.9193667971696449,8
Accelerator PPS Trigger rate_P1,Data Driven Contained Vertex rate_P1,0.8740914900279507,0
Accelerator PPS Trigger rate_P1,Data Driven Energy avg decision_P1,0.8765349436819938,8
Accelerator PPS Trigger rate_P1,Data Driven Energy avg delay_P1,0.878034146679365,8
Accelerator PPS Trigger rate_P1,Data Driven Energy rate_P1,0.8750122815539678,6
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole avg decision_P1,0.8693133222850099,7
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole avg delay_P1,0.8707362629805354,7
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole avg length_P1,0.8630268582640277,0
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole rate_P1,0.8505833146041683,6
Accelerator PPS Trigger rate_P1,Data Driven Horizontal Muon avg decision_P1,0.8741504065249753,8
Accelerator PPS Trigger rate_P1,Data Driven Horizontal Muon avg delay_P1,0.8757808381765926,7
Accelerator PPS Trigger rate_P1,Data Driven Horizontal Muon avg length_P1,0.9211928158679474,0
Accelerator PPS Trigger rate_P1,Data Driven Horizontal Muon rate_P1,0.8645307688812311,6
Accelerator PPS Trigger rate_P1,Data Driven Neutron-Antineutron avg decision_P1,0.8741907793154539,1
Accelerator PPS Trigger rate_P1,Data Driven Neutron-Antineutron avg delay_P1,0.8758422338350996,7
Accelerator PPS Trigger rate_P1,Data Driven Neutron-Antineutron avg length_P1,0.8110013196852957,0
Accelerator PPS Trigger rate_P1,Data Driven Neutron-Antineutron rate_P1,0.8686443764757087,3
Accelerator PPS Trigger rate_P1,Data Driven Slow Monople avg decision_P1,0.8517063308824147,1
Accelerator PPS Trigger rate_P1,Data Driven Slow Monople avg delay_P1,0.8535586250560981,9
Accelerator PPS Trigger rate_P1,Data Driven Slow Monople avg length_P1,0.8893590394553764,7
Accelerator PPS Trigger rate_P1,Data Driven Slow Monople rate_P1,0.8135920569952292,8
Accelerator PPS Trigger rate_P1,Data Driven Upmu avg decision_P1,0.8745804259559257,1
Accelerator PPS Trigger rate_P1,Data Driven Upmu avg delay_P1,0.8758439594584567,8
Accelerator PPS Trigger rate_P1,Data Driven Upmu avg length_P1,0.9158929632349357,0
Accelerator PPS Trigger rate_P1,Data Driven Upmu rate_P1,0.8637018561443454,8
Accelerator PPS Trigger rate_P1,LIGO Beat Fast rate_P1,0.935658784283169,0
Accelerator PPS Trigger rate_P1,Overall Trigger Rate_P1,0.8347056038665756,6
Accelerator PPS Trigger rate_P1,Periodic Calibration Pulser rate_P1,0.9859902802310809,8
Accelerator PPS Trigger rate_P1,SN message delay_P1,0.8646055790585908,6
Accelerator PPS Trigger rate_P1,SN message rate_P1,0.9041162769475698,0
Accelerator PPS Trigger rate_P1,SN processing delay_P1,0.8248985290160349,6
Accelerator PPS Trigger rate_P1,SN triggering delay_P1,0.8367599090511838,-1
Accelerator PPS Trigger rate_P1,SNEWS Beat Fast rate_P1,0.9601070625649534,2
Accelerator PPS Trigger rate_P1,Spill Trigger Avg Delay_P1,0.7318517495097923,1
DAQ Status Block rate_P1,Data Driven Contained Vertex avg decision_P1,0.88124466545806,4
DAQ Status Block rate_P1,Data Driven Contained Vertex avg delay_P1,0.8831093326780144,7
DAQ Status Block rate_P1,Data Driven Contained Vertex avg length_P1,0.92485209935272,6
DAQ Status Block rate_P1,Data Driven Contained Vertex rate_P1,0.8787569425277243,-2
DAQ Status Block rate_P1,Data Driven Energy avg decision_P1,0.8816759117840027,6
DAQ Status Block rate_P1,Data Driven Energy avg delay_P1,0.8832169249214405,6
DAQ Status Block rate_P1,Data Driven Energy rate_P1,0.8808078393686023,4
DAQ Status Block rate_P1,Data Driven Fast Monopole avg decision_P1,0.8749659453401194,5
DAQ Status Block rate_P1,Data Driven Fast Monopole avg delay_P1,0.8764225489784089,5
DAQ Status Block rate_P1,Data Driven Fast Monopole avg length_P1,0.8678139470625049,-1
DAQ Status Block rate_P1,Data Driven Fast Monopole rate_P1,0.8552841280115171,4
DAQ Status Block rate_P1,Data Driven Horizontal Muon avg decision_P1,0.8790128941012765,6
DAQ Status Block rate_P1,Data Driven Horizontal Muon avg delay_P1,0.8806787780926876,5
DAQ Status Block rate_P1,Data Driven Horizontal Muon avg length_P1,0.9257878393602833,-1
DAQ Status Block rate_P1,Data Driven Horizontal Muon rate_P1,0.8700310468757982,4
DAQ Status Block rate_P1,Data Driven Neutron-Antineutron avg decision_P1,0.8796031103937535,-1
DAQ Status Block rate_P1,Data Driven Neutron-Antineutron avg delay_P1,0.8812329423583197,5
DAQ Status Block rate_P1,Data Driven Neutron-Antineutron avg length_P1,0.8164974055056852,-2
DAQ Status Block rate_P1,Data Driven Neutron-Antineutron rate_P1,0.8738555160481223,1
DAQ Status Block rate_P1,Data Driven Slow Monople avg decision_P1,0.8568626850049202,-1
