Field1,Field2,Lag,P-Value
Accelerator PPS Trigger rate_P1,DAQ Status Block rate_P1,1,0.0
Accelerator PPS Trigger rate_P1,Data Driven Contained Vertex avg decision_P1,1,2.755940121685106e-61
Accelerator PPS Trigger rate_P1,Data Driven Contained Vertex avg delay_P1,1,1.4821347463670234e-47
Accelerator PPS Trigger rate_P1,Data Driven Contained Vertex avg length_P1,1,1.2108419902237869e-74
Accelerator PPS Trigger rate_P1,Data Driven Contained Vertex rate_P1,1,4.486850551953321e-36
Accelerator PPS Trigger rate_P1,Data Driven Energy avg decision_P1,1,8.926026658465773e-51
Accelerator PPS Trigger rate_P1,Data Driven Energy avg delay_P1,1,3.3565336484661444e-51
Accelerator PPS Trigger rate_P1,Data Driven Energy rate_P1,1,3.0091828555679317e-51
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole avg decision_P1,1,2.1288830496904883e-50
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole avg delay_P1,1,8.726938927515433e-51
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole avg length_P1,1,5.670044584926521e-43
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole rate_P1,1,7.318608608525833e-46
Accelerator PPS Trigger rate_P1,Data Driven Horizontal Muon avg decision_P1,1,1.430809340984829e-53
Accelerator PPS Trigger rate_P1,Data Driven Horizontal Muon avg delay_P1,1,2.350821656938781e-50
Accelerator PPS Trigger rate_P1,Data Driven Horizontal Muon avg length_P1,1,3.02006308980967e-80
Accelerator PPS Trigger rate_P1,Data Driven Horizontal Muon rate_P1,1,5.672909328696568e-41
Accelerator PPS Trigger rate_P1,Data Driven Neutron-Antineutron avg decision_P1,1,5.839017961684375e-72
Accelerator PPS Trigger rate_P1,Data Driven Neutron-Antineutron avg delay_P1,1,8.615779491678193e-49
Accelerator PPS Trigger rate_P1,Data Driven Neutron-Antineutron avg length_P1,1,6.957859552809198e-31
Accelerator PPS Trigger rate_P1,Data Driven Neutron-Antineutron rate_P1,1,1.1812286520479903e-52
Accelerator PPS Trigger rate_P1,Data Driven Numu avg decision_P1,1,0.04665344768947064
Accelerator PPS Trigger rate_P1,Data Driven Numu avg delay_P1,1,0.04676322932031528
Accelerator PPS Trigger rate_P1,Data Driven Slow Monople avg decision_P1,1,1.1141786364031055e-60
Accelerator PPS Trigger rate_P1,Data Driven Slow Monople avg delay_P1,1,1.6734811332498528e-41
Accelerator PPS Trigger rate_P1,Data Driven Slow Monople avg length_P1,1,1.8698727882260034e-58
Accelerator PPS Trigger rate_P1,Data Driven Slow Monople rate_P1,1,1.5003817151820078e-30
Accelerator PPS Trigger rate_P1,Data Driven Upmu avg decision_P1,1,5.076162453959449e-63
Accelerator PPS Trigger rate_P1,Data Driven Upmu avg delay_P1,1,1.708464161672477e-52
Accelerator PPS Trigger rate_P1,Data Driven Upmu avg length_P1,1,4.178760431129909e-77
Accelerator PPS Trigger rate_P1,Data Driven Upmu rate_P1,1,9.589333935650397e-50
Accelerator PPS Trigger rate_P1,LIGO Beat Fast rate_P1,1,4.1344666619080745e-60
Accelerator PPS Trigger rate_P1,NuMI Beam Spill Trigger rate_P1,2,0.0050888798940988
Accelerator PPS Trigger rate_P1,Overall Trigger Rate_P1,1,2.437130283763148e-38
Accelerator PPS Trigger rate_P1,Periodic Calibration Pulser rate_P1,1,3.1244008447345412e-170
Accelerator PPS Trigger rate_P1,SN datablock process rate_P1,1,4.132790733690014e-08
Accelerator PPS Trigger rate_P1,SN message delay_P1,1,8.60782194742355e-66
Accelerator PPS Trigger rate_P1,SN message rate_P1,1,1.6076770699903602e-55
Accelerator PPS Trigger rate_P1,SN processing delay_P1,1,7.800809297379799e-47
Accelerator PPS Trigger rate_P1,SN triggering delay_P1,1,2.4266747035156602e-21
Accelerator PPS Trigger rate_P1,SNEWS Beat Fast rate_P1,1,5.163476509882006e-231
Accelerator PPS Trigger rate_P1,SNEWS Trigger Std Delay_P1,2,0.046311872485905486
Accelerator PPS Trigger rate_P1,Spill Trigger Avg Delay_P1,1,1.4582022875231766e-99
Accelerator PPS Trigger rate_P1,Spill Trigger Max Delay_P1,1,0.03733546803067308
Accelerator PPS Trigger rate_P1,Spill Trigger Min Delay_P1,1,2.982050876500484e-199
Accelerator PPS Trigger rate_P1,Spill Trigger Std Delay_P1,1,3.338343438661329e-12
Accelerator PPS Trigger rate_P1,Data Driven Sun avg decision_P1,2,0.0010508691539463984
Accelerator PPS Trigger rate_P1,Data Driven Sun avg delay_P1,2,0.0011499183163222624
Accelerator PPS Trigger rate_P1,Data Driven Sun avg length_P1,2,2.5143592599043146e-08
Accelerator PPS Trigger rate_P1,Data Driven Sun rate_P1,1,0.04155535298834193
DAQ Status Block rate_P1,Data Driven Contained Vertex avg decision_P1,1,1.9307086123067403e-60
