Field,Timestamp,Value,Reason
SNEWS Beat Slow rate_P1,2024-02-20 12:25:00,1.1572700000000002e-05,Sharp Change
SNEWS Beat Slow rate_P1,2024-02-20 12:25:15,0.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 01:36:30,51.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 06:20:00,0.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 08:11:15,51.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 09:26:00,0.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 09:31:30,51.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 12:19:00,0.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 12:21:15,51.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 12:21:30,0.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 12:24:45,51.0,Sharp Change
Data Driven Sun avg length_P1,2024-02-20 12:25:15,0.0,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 01:51:15,26855.7,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 01:51:30,0.0,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 03:42:45,29704.38,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 03:43:00,35364.23333333333,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 03:43:30,24007.046666666665,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 03:43:45,17366.68,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 04:57:30,0.0,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 05:03:00,8744.47,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 08:32:45,0.0,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 08:47:45,16295.6,Sharp Change
Data Driven Fast Monopole avg delay_P1,2024-02-20 12:25:15,0.0,Sharp Change
SN triggering delay_P1,2024-02-19 15:50:00,57033.61333333333,Sharp Change
SN triggering delay_P1,2024-02-20 01:13:30,55795.8,Sharp Change
SN triggering delay_P1,2024-02-20 01:52:15,0.0,Sharp Change
SN triggering delay_P1,2024-02-20 03:49:45,34163.36,Sharp Change
SN triggering delay_P1,2024-02-20 04:59:00,0.0,Sharp Change
SN triggering delay_P1,2024-02-20 05:04:30,35122.5,Sharp Change
SN triggering delay_P1,2024-02-20 05:18:00,56784.16666666666,Sharp Change
SN triggering delay_P1,2024-02-20 06:50:00,54811.333333333336,Sharp Change
SN triggering delay_P1,2024-02-20 06:55:00,54800.833333333336,Sharp Change
SN triggering delay_P1,2024-02-20 07:40:00,57263.31333333333,Sharp Change
SN triggering delay_P1,2024-02-20 08:34:30,0.0,Sharp Change
SN triggering delay_P1,2024-02-20 08:49:45,63023.2,Sharp Change
SN triggering delay_P1,2024-02-20 12:25:15,0.0,Sharp Change
Data Driven Fast Monopole Neural Network avg decision_P1,2024-02-20 09:35:30,12906.1,Sharp Change
Data Driven Fast Monopole Neural Network avg decision_P1,2024-02-20 10:29:00,14983.726666666666,Sharp Change
Data Driven Fast Monopole Neural Network avg decision_P1,2024-02-20 12:25:15,0.0,Sharp Change
SN message rate_P1,2024-02-19 15:27:45,204.264,Sharp Change
SN message rate_P1,2024-02-20 01:52:30,96.63094,Sharp Change
SN message rate_P1,2024-02-20 01:52:45,9.840026599999998,Sharp Change
SN message rate_P1,2024-02-20 03:44:15,74.14682,Sharp Change
SN message rate_P1,2024-02-20 03:44:30,164.689,Sharp Change
SN message rate_P1,2024-02-20 03:44:45,246.4754,Sharp Change
SN message rate_P1,2024-02-20 03:45:15,134.05826,Sharp Change
SN message rate_P1,2024-02-20 03:45:30,63.83304,Sharp Change
SN message rate_P1,2024-02-20 03:48:45,189.0136666666667,Sharp Change
SN message rate_P1,2024-02-20 04:59:00,0.0,Sharp Change
SN message rate_P1,2024-02-20 05:04:30,200.067,Sharp Change
SN message rate_P1,2024-02-20 08:04:00,149.667,Sharp Change
SN message rate_P1,2024-02-20 08:05:00,143.6002333333333,Sharp Change
SN message rate_P1,2024-02-20 08:06:00,189.467,Sharp Change
SN message rate_P1,2024-02-20 08:07:45,148.39659999999998,Sharp Change
SN message rate_P1,2024-02-20 08:32:00,123.29334,Sharp Change
SN message rate_P1,2024-02-20 08:32:45,202.81806666666665,Sharp Change
SN message rate_P1,2024-02-20 08:34:15,66.9333,Sharp Change
SN message rate_P1,2024-02-20 08:34:30,0.0,Sharp Change
SN message rate_P1,2024-02-20 08:49:00,135.576,Sharp Change
SN message rate_P1,2024-02-20 08:49:15,193.18446666666665,Sharp Change
SN message rate_P1,2024-02-20 08:52:00,153.61299999999997,Sharp Change
SN message rate_P1,2024-02-20 08:54:00,138.067,Sharp Change
SN message rate_P1,2024-02-20 08:55:30,246.8496,Sharp Change
SN message rate_P1,2024-02-20 08:58:15,115.04891333333332,Sharp Change
SN message rate_P1,2024-02-20 08:59:00,231.21286666666668,Sharp Change
SN message rate_P1,2024-02-20 09:00:15,93.07996,Sharp Change
SN message rate_P1,2024-02-20 09:00:30,205.1064,Sharp Change
SN message rate_P1,2024-02-20 09:01:15,224.983,Sharp Change
SN message rate_P1,2024-02-20 09:04:30,150.21560000000002,Sharp Change
SN message rate_P1,2024-02-20 09:05:30,205.1683333333333,Sharp Change
SN message rate_P1,2024-02-20 09:06:15,58.11996,Sharp Change
SN message rate_P1,2024-02-20 09:06:30,166.6798,Sharp Change
SN message rate_P1,2024-02-20 09:08:15,83.98664000000001,Sharp Change
SN message rate_P1,2024-02-20 09:08:45,179.3072,Sharp Change
SN message rate_P1,2024-02-20 09:09:00,114.72,Sharp Change
SN message rate_P1,2024-02-20 09:09:15,181.44,Sharp Change
SN message rate_P1,2024-02-20 09:11:15,146.84466666666668,Sharp Change
SN message rate_P1,2024-02-20 09:14:00,189.125,Sharp Change
SN message rate_P1,2024-02-20 09:17:15,167.5778,Sharp Change
SN message rate_P1,2024-02-20 09:18:45,160.6932,Sharp Change
SN message rate_P1,2024-02-20 09:19:30,185.32446666666664,Sharp Change
SN message rate_P1,2024-02-20 09:22:00,114.5868,Sharp Change
SN message rate_P1,2024-02-20 09:22:15,164.76020000000003,Sharp Change
SN message rate_P1,2024-02-20 09:23:00,180.17766666666665,Sharp Change
SN message rate_P1,2024-02-20 09:25:15,85.2267,Sharp Change
SN message rate_P1,2024-02-20 09:25:45,164.7742,Sharp Change
SN message rate_P1,2024-02-20 09:27:00,130.985,Sharp Change
SN message rate_P1,2024-02-20 09:27:30,211.90246666666664,Sharp Change
