Field1,Field2,DTW_Distance
Accelerator PPS Trigger rate_P1,DAQ Status Block rate_P1,115.37883959047234
Accelerator PPS Trigger rate_P1,Data Driven Contained Vertex avg length_P1,118.15623266666552
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole Neural Network Variant 2 avg length_P1,6341.695671466613
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole Neural Network Variant 2 rate_P1,3551.239016653358
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole Neural Network rate_P1,13633.24999573331
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole avg length_P1,221.2014175999964
Accelerator PPS Trigger rate_P1,Data Driven Fast Monopole rate_P1,10150.239152266644
Accelerator PPS Trigger rate_P1,Data Driven Horizontal Muon avg length_P1,5312.288503733384
Accelerator PPS Trigger rate_P1,Data Driven Neutron-Antineutron avg length_P1,7946.416220133351
Accelerator PPS Trigger rate_P1,Data Driven Numu avg length_P1,2450.227813477752
Accelerator PPS Trigger rate_P1,Data Driven Slow Monople rate_P1,6237.394253853325
Accelerator PPS Trigger rate_P1,Data Driven Sun rate_P1,13013.962006959977
Accelerator PPS Trigger rate_P1,Data Driven Supernova avg delay_P1,5296.058454933283
Accelerator PPS Trigger rate_P1,Data Driven Supernova rate_P1,5296.0258849196725
Accelerator PPS Trigger rate_P1,Data Driven Upmu avg length_P1,122.29841902222093
Accelerator PPS Trigger rate_P1,Data Driven Upmu rate_P1,14636.964617866724
Accelerator PPS Trigger rate_P1,LIGO Beat Fast rate_P1,5207.88810222331
Accelerator PPS Trigger rate_P1,LIGO Beat Slow rate_P1,5293.253316973276
Accelerator PPS Trigger rate_P1,LIGO Trigger rate_P1,5296.025650753552
Accelerator PPS Trigger rate_P1,NuMI Beam Spill Trigger rate_P1,1747.3536871333254
Accelerator PPS Trigger rate_P1,SN bg update rate_P1,5294.068341663252
Accelerator PPS Trigger rate_P1,SN datablock process rate_P1,819.4644823241293
Accelerator PPS Trigger rate_P1,SNEWS Beat Fast rate_P1,5207.831825319972
Accelerator PPS Trigger rate_P1,SNEWS Beat Slow rate_P1,5296.0495902451285
Accelerator PPS Trigger rate_P1,Supernova Cross-trigger rate_P1,5295.865286003323
